Question number, Melody number, Instrument, Correct answer, User answer 
0, 69, 3, 1, 2, 1
0, 69, 3, 1, 0, 3
1, 26, 3, 3, 0, 2
2, 11, 4, 1, 1, 3
3, 49, 1, 2, 2, 3
4, 17, 2, 3, 1, 1
5, 53, 2, 3, 2, 1
6, 10, 4, 2, 0, 3
7, 33, 3, 1, 1, 3
8, 39, 3, 3, 2, 3
9, 19, 1, 2, 2, 3
10, 52, 2, 3, 2, 3
11, 0, 4, 2, 0, 2
12, 21, 1, 1, 1, 2
13, 48, 3, 1, 0, 2
14, 36, 4, 3, 2, 3
15, 65, 4, 1, 1, 2
16, 29, 2, 1, 2, 3
17, 56, 1, 2, 1, 3
18, 71, 3, 1, 0, 2
19, 4, 1, 2, 1, 1
20, 9, 4, 2, 1, 2
21, 22, 1, 2, 2, 3
22, 3, 2, 2, 1, 3
23, 42, 4, 2, 0, 2
24, 70, 1, 3, 0, 2
25, 41, 4, 2, 2, 3
26, 60, 2, 2, 0, 1
27, 68, 1, 2, 2, 1
28, 2, 1, 2, 2, 3
29, 64, 3, 1, 1, 1
30, 14, 2, 2, 2, 2
31, 5, 1, 3, 1, 2
32, 62, 3, 3, 0, 3
33, 58, 4, 1, 0, 2
34, 27, 1, 3, 0, 3
35, 24, 3, 1, 2, 3
36, 32, 3, 1, 1, 2
37, 44, 2, 3, 0, 1
38, 57, 3, 1, 1, 2
39, 35, 3, 1, 2, 3
40, 16, 3, 1, 1, 2
41, 6, 2, 1, 2, 2
42, 12, 1, 3, 2, 3
43, 43, 4, 1, 0, 1
44, 55, 3, 3, 0, 3
45, 30, 2, 1, 0, 2
46, 23, 2, 3, 0, 1
47, 37, 1, 1, 1, 1
48, 63, 4, 2, 2, 1
49, 38, 4, 2, 1, 1
50, 25, 3, 2, 0, 3
51, 47, 3, 3, 0, 2
52, 34, 3, 3, 2, 3
53, 15, 4, 3, 1, 3
54, 18, 1, 3, 0, 1
55, 7, 2, 3, 1, 2
56, 54, 1, 3, 0, 3
57, 46, 4, 3, 1, 3
58, 45, 2, 2, 0, 3
59, 28, 4, 3, 0, 2
60, 40, 2, 3, 0, 2
61, 66, 2, 1, 0, 1
62, 50, 2, 1, 1, 2
63, 61, 4, 2, 1, 2
64, 67, 1, 1, 0, 3
65, 8, 2, 2, 2, 1
66, 1, 3, 1, 1, 2
67, 51, 4, 2, 0, 1
68, 31, 2, 1, 1, 3
69, 20, 4, 2, 0, 3
70, 59, 1, 3, 0, 1
End
