Question number, Melody number, Instrument, Correct answer, User answer 
0, 47, 3, 3, 0, 0
0, 47, 3, 3, 2, 2
1, 3, 4, 3, 1, 1
2, 54, 1, 3, 1, 2
3, 22, 2, 1, 2, 1
4, 29, 2, 3, 2, 2
5, 71, 1, 1, 1, 3
6, 37, 4, 2, 1, 2
7, 69, 3, 2, 2, 1
8, 50, 3, 1, 2, 3
9, 33, 2, 2, 2, 2
10, 11, 2, 2, 0, 3
11, 46, 2, 3, 0, 2
12, 21, 3, 2, 0, 3
13, 51, 3, 3, 2, 3
14, 5, 1, 3, 0, 1
15, 67, 3, 1, 2, 3
16, 25, 3, 3, 1, 2
17, 61, 3, 3, 1, 2
18, 53, 4, 2, 1, 2
19, 24, 2, 1, 2, 3
20, 45, 2, 2, 2, 3
21, 23, 3, 1, 0, 3
22, 35, 4, 1, 2, 3
23, 42, 1, 1, 2, 3
24, 1, 2, 1, 2, 3
25, 2, 1, 3, 1, 2
26, 6, 1, 1, 2, 3
27, 14, 1, 2, 0, 2
28, 4, 4, 2, 1, 3
29, 52, 2, 1, 1, 3
30, 68, 2, 2, 1, 3
31, 30, 1, 2, 0, 2
32, 40, 4, 1, 1, 2
33, 7, 4, 2, 0, 2
34, 41, 3, 1, 2, 2
35, 19, 4, 2, 2, 3
36, 26, 1, 1, 2, 2
37, 56, 4, 2, 1, 2
38, 55, 2, 3, 1, 3
39, 9, 3, 3, 0, 2
40, 17, 1, 1, 2, 1
41, 57, 1, 1, 1, 2
42, 0, 2, 1, 2, 3
43, 12, 1, 2, 2, 1
44, 64, 4, 2, 0, 2
45, 48, 2, 1, 0, 3
46, 36, 3, 2, 1, 2
47, 16, 4, 1, 0, 1
48, 38, 4, 2, 2, 3
49, 49, 3, 3, 2, 1
50, 43, 1, 3, 1, 3
51, 8, 2, 3, 2, 3
52, 15, 3, 3, 0, 1
53, 60, 1, 3, 2, 3
54, 20, 2, 3, 2, 1
55, 66, 1, 2, 0, 1
56, 70, 3, 3, 2, 1
57, 27, 4, 3, 0, 2
58, 32, 4, 1, 2, 1
59, 44, 4, 2, 1, 3
60, 58, 1, 2, 0, 2
61, 63, 1, 3, 0, 1
62, 65, 4, 3, 2, 3
63, 10, 3, 2, 2, 3
64, 62, 4, 2, 0, 3
65, 34, 1, 1, 2, 3
66, 28, 2, 2, 2, 2
67, 39, 2, 1, 1, 1
68, 59, 4, 1, 2, 3
69, 13, 3, 1, 1, 3
70, 18, 3, 3, 1, 2
End
